Vuosi_code,Vuosi_label,"Sähkön tuotanto ja kulutus, GWh_code","Sähkön tuotanto ja kulutus, GWh_label",Tiedot_code,Tiedot_label,value
2000,2000,19,Sähkön nettotuonti,osuuskk,Osuus kokonaiskulutuksesta %,15
2000,2000,19,Sähkön nettotuonti,osuuskt,"Osuus kokonaistuotannosta, %",
2000,2000,20,SÄHKÖN KOKONAISKULUTUS,arvogwh,"Määrä, GWh",79169
2000,2000,20,SÄHKÖN KOKONAISKULUTUS,vv_muutos,Vuosimuutos %,
2000,2000,20,SÄHKÖN KOKONAISKULUTUS,osuuskk,Osuus kokonaiskulutuksesta %,100
2000,2000,20,SÄHKÖN KOKONAISKULUTUS,osuuskt,"Osuus kokonaistuotannosta, %",
2001,2001,01,YDINVOIMA,arvogwh,"Määrä, GWh",21854
2001,2001,01,YDINVOIMA,vv_muutos,Vuosimuutos %,1.3
2001,2001,01,YDINVOIMA,osuuskk,Osuus kokonaiskulutuksesta %,26.9
2001,2001,01,YDINVOIMA,osuuskt,"Osuus kokonaistuotannosta, %",30.7
2001,2001,02,Öljy (Fossiilinen polttoaine),arvogwh,"Määrä, GWh",610
2001,2001,02,Öljy (Fossiilinen polttoaine),vv_muutos,Vuosimuutos %,12.8
2001,2001,02,Öljy (Fossiilinen polttoaine),osuuskk,Osuus kokonaiskulutuksesta %,0.8
2001,2001,02,Öljy (Fossiilinen polttoaine),osuuskt,"Osuus kokonaistuotannosta, %",0.9
2001,2001,03,Kivihiili (Fossiilinen polttoaine),arvogwh,"Määrä, GWh",9944
2001,2001,03,Kivihiili (Fossiilinen polttoaine),vv_muutos,Vuosimuutos %,24.7
2001,2001,03,Kivihiili (Fossiilinen polttoaine),osuuskk,Osuus kokonaiskulutuksesta %,12.2
2001,2001,03,Kivihiili (Fossiilinen polttoaine),osuuskt,"Osuus kokonaistuotannosta, %",14
2001,2001,04,Maakaasu (Fossiilinen polttoaine),arvogwh,"Määrä, GWh",11182
2001,2001,04,Maakaasu (Fossiilinen polttoaine),vv_muutos,Vuosimuutos %,13.5
2001,2001,04,Maakaasu (Fossiilinen polttoaine),osuuskk,Osuus kokonaiskulutuksesta %,13.8
2001,2001,04,Maakaasu (Fossiilinen polttoaine),osuuskt,"Osuus kokonaistuotannosta, %",15.7
2001,2001,05,Muut fossiiliset (Fossiilinen polttoaine),arvogwh,"Määrä, GWh",717
2001,2001,05,Muut fossiiliset (Fossiilinen polttoaine),vv_muutos,Vuosimuutos %,-0.8
2001,2001,05,Muut fossiiliset (Fossiilinen polttoaine),osuuskk,Osuus kokonaiskulutuksesta %,0.9
2001,2001,05,Muut fossiiliset (Fossiilinen polttoaine),osuuskt,"Osuus kokonaistuotannosta, %",1
2001,2001,06,FOSSIILISET POLTTOAINEET YHTEENSÄ,arvogwh,"Määrä, GWh",22453
2001,2001,06,FOSSIILISET POLTTOAINEET YHTEENSÄ,vv_muutos,Vuosimuutos %,17.6
2001,2001,06,FOSSIILISET POLTTOAINEET YHTEENSÄ,osuuskk,Osuus kokonaiskulutuksesta %,27.7
2001,2001,06,FOSSIILISET POLTTOAINEET YHTEENSÄ,osuuskt,"Osuus kokonaistuotannosta, %",31.5
2001,2001,07,Turve,arvogwh,"Määrä, GWh",5797
2001,2001,07,Turve,vv_muutos,Vuosimuutos %,57.1
2001,2001,07,Turve,osuuskk,Osuus kokonaiskulutuksesta %,7.1
2001,2001,07,Turve,osuuskt,"Osuus kokonaistuotannosta, %",8.1
2001,2001,08,FOSSIILISET JA TURVE YHTEENSÄ,arvogwh,"Määrä, GWh",28249
2001,2001,08,FOSSIILISET JA TURVE YHTEENSÄ,vv_muutos,Vuosimuutos %,24
2001,2001,08,FOSSIILISET JA TURVE YHTEENSÄ,osuuskk,Osuus kokonaiskulutuksesta %,34.8
2001,2001,08,FOSSIILISET JA TURVE YHTEENSÄ,osuuskt,"Osuus kokonaistuotannosta, %",39.7
2001,2001,09,Vesivoima (Uusiutuva energialähde),arvogwh,"Määrä, GWh",13018
