Vuosi,"Sähkön tuotanto ja kulutus, GWh",Tiedot,value
2002,Muut fossiiliset (Fossiilinen polttoaine),Vuosimuutos %,-0.3
2002,Muut fossiiliset (Fossiilinen polttoaine),Osuus kokonaiskulutuksesta %,0.9
2002,Muut fossiiliset (Fossiilinen polttoaine),"Osuus kokonaistuotannosta, %",1
2002,FOSSIILISET POLTTOAINEET YHTEENSÄ,"Määrä, GWh",24662
2002,FOSSIILISET POLTTOAINEET YHTEENSÄ,Vuosimuutos %,9.8
2002,FOSSIILISET POLTTOAINEET YHTEENSÄ,Osuus kokonaiskulutuksesta %,29.5
2002,FOSSIILISET POLTTOAINEET YHTEENSÄ,"Osuus kokonaistuotannosta, %",34.4
2002,Turve,"Määrä, GWh",6142
2002,Turve,Vuosimuutos %,6
2002,Turve,Osuus kokonaiskulutuksesta %,7.4
2002,Turve,"Osuus kokonaistuotannosta, %",8.6
2002,FOSSIILISET JA TURVE YHTEENSÄ,"Määrä, GWh",30804
2002,FOSSIILISET JA TURVE YHTEENSÄ,Vuosimuutos %,9
2002,FOSSIILISET JA TURVE YHTEENSÄ,Osuus kokonaiskulutuksesta %,36.9
2002,FOSSIILISET JA TURVE YHTEENSÄ,"Osuus kokonaistuotannosta, %",43
2002,Vesivoima (Uusiutuva energialähde),"Määrä, GWh",10623
2002,Vesivoima (Uusiutuva energialähde),Vuosimuutos %,-18.4
2002,Vesivoima (Uusiutuva energialähde),Osuus kokonaiskulutuksesta %,12.7
2002,Vesivoima (Uusiutuva energialähde),"Osuus kokonaistuotannosta, %",14.8
2002,Tuulivoima (Uusiutuva energialähde),"Määrä, GWh",63
2002,Tuulivoima (Uusiutuva energialähde),Vuosimuutos %,-10
2002,Tuulivoima (Uusiutuva energialähde),Osuus kokonaiskulutuksesta %,0.1
2002,Tuulivoima (Uusiutuva energialähde),"Osuus kokonaistuotannosta, %",0.1
2002,Aurinkovoima (Uusiutuva energialähde),"Määrä, GWh",2
2002,Aurinkovoima (Uusiutuva energialähde),Vuosimuutos %,0
2002,Aurinkovoima (Uusiutuva energialähde),Osuus kokonaiskulutuksesta %,0
2002,Aurinkovoima (Uusiutuva energialähde),"Osuus kokonaistuotannosta, %",0
2002,Mustalipeä (Uusiutuva energialähde),"Määrä, GWh",5140
2002,Mustalipeä (Uusiutuva energialähde),Vuosimuutos %,7.9
2002,Mustalipeä (Uusiutuva energialähde),Osuus kokonaiskulutuksesta %,6.2
2002,Mustalipeä (Uusiutuva energialähde),"Osuus kokonaistuotannosta, %",7.2
2002,Muut puupolttoaineet (Uusiutuva energialähde),"Määrä, GWh",3174
2002,Muut puupolttoaineet (Uusiutuva energialähde),Vuosimuutos %,10.9
2002,Muut puupolttoaineet (Uusiutuva energialähde),Osuus kokonaiskulutuksesta %,3.8
2002,Muut puupolttoaineet (Uusiutuva energialähde),"Osuus kokonaistuotannosta, %",4.4
2002,Muut uusiutuvat (Uusiutuva energialähde),"Määrä, GWh",172
2002,Muut uusiutuvat (Uusiutuva energialähde),Vuosimuutos %,-1.1
2002,Muut uusiutuvat (Uusiutuva energialähde),Osuus kokonaiskulutuksesta %,0.2
2002,Muut uusiutuvat (Uusiutuva energialähde),"Osuus kokonaistuotannosta, %",0.2
2002,UUSIUTUVAT POLTTOAINEET YHTEENSÄ,"Määrä, GWh",8486
2002,UUSIUTUVAT POLTTOAINEET YHTEENSÄ,Vuosimuutos %,8.8
2002,UUSIUTUVAT POLTTOAINEET YHTEENSÄ,Osuus kokonaiskulutuksesta %,10.2
2002,UUSIUTUVAT POLTTOAINEET YHTEENSÄ,"Osuus kokonaistuotannosta, %",11.8
2002,UUSIUTUVAT ENERGIALÄHTEET YHTEENSÄ,"Määrä, GWh",19174
2002,UUSIUTUVAT ENERGIALÄHTEET YHTEENSÄ,Vuosimuutos %,-8.2
2002,UUSIUTUVAT ENERGIALÄHTEET YHTEENSÄ,Osuus kokonaiskulutuksesta %,22.9
2002,UUSIUTUVAT ENERGIALÄHTEET YHTEENSÄ,"Osuus kokonaistuotannosta, %",26.8
2002,Muut energialähteet,"Määrä, GWh",258
2002,Muut energialähteet,Vuosimuutos %,5.7
2002,Muut energialähteet,Osuus kokonaiskulutuksesta %,0.3
2002,Muut energialähteet,"Osuus kokonaistuotannosta, %",0.4
2002,SÄHKÖN TUOTANTO YHTEENSÄ,"Määrä, GWh",71631
2002,SÄHKÖN TUOTANTO YHTEENSÄ,Vuosimuutos %,0.6
2002,SÄHKÖN TUOTANTO YHTEENSÄ,Osuus kokonaiskulutuksesta %,85.7
2002,SÄHKÖN TUOTANTO YHTEENSÄ,"Osuus kokonaistuotannosta, %",100
2002,Sähkön nettotuonti,"Määrä, GWh",11925
2002,Sähkön nettotuonti,Vuosimuutos %,19.7
2002,Sähkön nettotuonti,Osuus kokonaiskulutuksesta %,14.3
2002,Sähkön nettotuonti,"Osuus kokonaistuotannosta, %",
2002,SÄHKÖN KOKONAISKULUTUS,"Määrä, GWh",83556
2002,SÄHKÖN KOKONAISKULUTUS,Vuosimuutos %,2.9
2002,SÄHKÖN KOKONAISKULUTUS,Osuus kokonaiskulutuksesta %,100
2002,SÄHKÖN KOKONAISKULUTUS,"Osuus kokonaistuotannosta, %",
2003,YDINVOIMA,"Määrä, GWh",21830
2003,YDINVOIMA,Vuosimuutos %,2
2003,YDINVOIMA,Osuus kokonaiskulutuksesta %,25.6
2003,YDINVOIMA,"Osuus kokonaistuotannosta, %",27.2
2003,Öljy (Fossiilinen polttoaine),"Määrä, GWh",910
2003,Öljy (Fossiilinen polttoaine),Vuosimuutos %,8.9
2003,Öljy (Fossiilinen polttoaine),Osuus kokonaiskulutuksesta %,1.1
2003,Öljy (Fossiilinen polttoaine),"Osuus kokonaistuotannosta, %",1.1
2003,Kivihiili (Fossiilinen polttoaine),"Määrä, GWh",17923
2003,Kivihiili (Fossiilinen polttoaine),Vuosimuutos %,51.4
2003,Kivihiili (Fossiilinen polttoaine),Osuus kokonaiskulutuksesta %,21
2003,Kivihiili (Fossiilinen polttoaine),"Osuus kokonaistuotannosta, %",22.3
2003,Maakaasu (Fossiilinen polttoaine),"Määrä, GWh",13435
2003,Maakaasu (Fossiilinen polttoaine),Vuosimuutos %,19.2
2003,Maakaasu (Fossiilinen polttoaine),Osuus kokonaiskulutuksesta %,15.8
2003,Maakaasu (Fossiilinen polttoaine),"Osuus kokonaistuotannosta, %",16.7
2003,Muut fossiiliset (Fossiilinen polttoaine),"Määrä, GWh",728
2003,Muut fossiiliset (Fossiilinen polttoaine),Vuosimuutos %,1.8
2003,Muut fossiiliset (Fossiilinen polttoaine),Osuus kokonaiskulutuksesta %,0.9
2003,Muut fossiiliset (Fossiilinen polttoaine),"Osuus kokonaistuotannosta, %",0.9
2003,FOSSIILISET POLTTOAINEET YHTEENSÄ,"Määrä, GWh",32996
2003,FOSSIILISET POLTTOAINEET YHTEENSÄ,Vuosimuutos %,33.8
2003,FOSSIILISET POLTTOAINEET YHTEENSÄ,Osuus kokonaiskulutuksesta %,38.7
2003,FOSSIILISET POLTTOAINEET YHTEENSÄ,"Osuus kokonaistuotannosta, %",41
2003,Turve,"Määrä, GWh",6831
2003,Turve,Vuosimuutos %,11.2
2003,Turve,Osuus kokonaiskulutuksesta %,8
2003,Turve,"Osuus kokonaistuotannosta, %",8.5
2003,FOSSIILISET JA TURVE YHTEENSÄ,"Määrä, GWh",39827
2003,FOSSIILISET JA TURVE YHTEENSÄ,Vuosimuutos %,29.3
2003,FOSSIILISET JA TURVE YHTEENSÄ,Osuus kokonaiskulutuksesta %,46.7
2003,FOSSIILISET JA TURVE YHTEENSÄ,"Osuus kokonaistuotannosta, %",49.5
2003,Vesivoima (Uusiutuva energialähde),"Määrä, GWh",9455
2003,Vesivoima (Uusiutuva energialähde),Vuosimuutos %,-11
2003,Vesivoima (Uusiutuva energialähde),Osuus kokonaiskulutuksesta %,11.1
2003,Vesivoima (Uusiutuva energialähde),"Osuus kokonaistuotannosta, %",11.8
2003,Tuulivoima (Uusiutuva energialähde),"Määrä, GWh",92
2003,Tuulivoima (Uusiutuva energialähde),Vuosimuutos %,46
2003,Tuulivoima (Uusiutuva energialähde),Osuus kokonaiskulutuksesta %,0.1
2003,Tuulivoima (Uusiutuva energialähde),"Osuus kokonaistuotannosta, %",0.1
2003,Aurinkovoima (Uusiutuva energialähde),"Määrä, GWh",2
2003,Aurinkovoima (Uusiutuva energialähde),Vuosimuutos %,0
2003,Aurinkovoima (Uusiutuva energialähde),Osuus kokonaiskulutuksesta %,0
2003,Aurinkovoima (Uusiutuva energialähde),"Osuus kokonaistuotannosta, %",0
2003,Mustalipeä (Uusiutuva energialähde),"Määrä, GWh",5255
2003,Mustalipeä (Uusiutuva energialähde),Vuosimuutos %,2.2
2003,Mustalipeä (Uusiutuva energialähde),Osuus kokonaiskulutuksesta %,6.2
2003,Mustalipeä (Uusiutuva energialähde),"Osuus kokonaistuotannosta, %",6.5
2003,Muut puupolttoaineet (Uusiutuva energialähde),"Määrä, GWh",3354
2003,Muut puupolttoaineet (Uusiutuva energialähde),Vuosimuutos %,5.7
2003,Muut puupolttoaineet (Uusiutuva energialähde),Osuus kokonaiskulutuksesta %,3.9
2003,Muut puupolttoaineet (Uusiutuva energialähde),"Osuus kokonaistuotannosta, %",4.2
